B,G,R
3,8,49
3,8,49
3,8,50
3,8,52
3,8,52
3,8,53
4,10,55
4,10,57
5,11,59
5,11,61
4,8,45
4,8,44
4,8,43
3,8,44
4,8,45
4,9,45
4,11,48
5,11,50
6,13,52
7,13,52
6,13,52
5,12,52
7,14,56
7,14,58
6,12,56
5,11,56
6,11,58
6,11,57
7,11,57
8,14,61
12,17,68
13,17,68
11,15,67
8,14,60
5,9,58
5,9,58
5,9,56
5,9,55
5,9,54
5,9,54
5,9,54
5,9,54
5,9,54
5,9,54
5,9,54
5,9,54
5,9,54
5,9,54
5,9,54
4,9,54
4,9,54
5,10,54
5,10,54
5,10,53
5,10,53
5,10,53
5,10,53
5,10,53
5,10,53
5,10,53
5,10,53
5,10,53
5,10,53
5,11,53
7,12,57
9,15,59
16,22,66
21,27,71
27,34,73
24,28,72
22,27,65
17,21,60
6,10,51
4,9,49
4,9,48
4,8,47
4,8,47
4,8,47
4,9,48
5,9,48
5,10,49
5,10,48
5,9,48
4,9,48
3,8,47
3,8,48
3,8,48
3,8,48
3,8,49
3,8,49
3,8,51
3,8,52
4,10,55
5,11,58
8,15,62
9,15,63
10,16,64
5,9,47
4,8,45
4,8,44
4,8,43
3,8,43
3,8,43
4,9,44
4,10,47
4,11,48
5,11,51
7,13,52
8,14,53
7,14,53
6,13,55
9,14,59
7,14,59
5,11,58
4,10,58
4,11,59
4,11,60
4,11,61
7,12,63
9,15,68
13,17,68
9,15,67
6,11,63
5,9,60
5,9,59
5,9,58
5,9,58
5,9,58
5,9,58
5,9,58
5,9,58
5,9,58
5,9,58
5,9,58
5,11,59
5,11,59
5,9,59
5,9,59
4,9,59
4,9,59
4,10,59
4,10,59
5,10,57
4,10,57
4,10,57
4,10,57
4,10,57
4,10,57
4,10,57
4,10,57
5,10,57
5,10,57
6,11,58
7,12,59
11,16,61
17,23,68
21,27,71
27,34,73
24,28,72
21,27,71
15,20,62
6,10,52
4,9,51
4,9,49
4,9,49
4,8,49
4,8,49
4,9,49
5,9,49
5,9,49
5,9,49
5,9,49
4,9,48
3,9,47
3,8,47
3,8,47
3,8,47
3,8,48
3,8,48
3,8,48
3,9,50
4,9,52
4,10,56
