B,G,R
7,17,42
7,17,41
7,17,41
7,17,41
7,17,41
6,17,41
5,17,42
6,17,42
6,16,42
6,16,42
6,16,42
6,16,42
6,15,42
6,15,42
6,15,42
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
6,15,42
7,16,43
7,16,43
7,16,43
8,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,17,44
7,17,44
7,17,44
8,17,44
8,17,44
8,17,44
8,17,44
8,17,44
8,17,44
10,17,44
10,17,44
10,17,44
11,18,44
12,19,44
12,19,44
12,19,44
11,18,43
11,18,43
10,18,43
10,19,43
10,19,43
9,19,43
9,19,43
9,19,43
9,19,43
9,19,43
10,20,44
10,20,44
10,20,44
10,20,44
10,20,44
11,19,44
11,19,44
12,19,44
12,19,44
12,19,44
13,20,45
13,20,45
13,20,45
13,19,44
12,19,44
12,19,44
12,19,44
14,19,43
14,20,43
14,20,43
14,20,43
15,20,43
7,16,42
6,15,41
5,15,39
5,15,39
5,15,39
5,15,39
5,15,39
5,15,39
5,16,39
5,16,39
5,16,39
6,16,40
6,16,40
6,16,40
6,16,42
6,16,42
6,15,42
6,16,42
7,15,43
7,15,43
7,15,43
6,15,43
6,15,43
6,15,43
7,15,43
6,15,43
7,15,43
7,16,43
7,16,42
7,16,42
7,17,41
7,17,41
6,17,41
6,17,42
5,17,42
6,17,42
6,16,42
6,16,43
6,16,43
6,15,42
6,15,42
6,15,42
7,15,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
6,15,42
6,15,42
6,15,42
7,16,43
7,16,43
7,17,43
7,16,43
7,16,43
7,16,43
6,17,43
6,16,43
6,17,43
7,17,44
7,17,44
7,17,44
7,17,44
8,17,44
8,17,44
8,17,44
8,17,44
8,17,44
9,17,44
10,17,44
10,18,43
11,18,43
11,18,43
11,18,43
11,18,43
10,18,43
10,18,43
10,19,43
9,19,43
9,19,43
9,19,43
9,19,43
9,19,43
9,19,43
9,19,43
10,20,44
10,20,44
10,20,44
10,19,44
11,19,44
11,19,44
11,18,43
11,18,43
12,19,44
13,19,44
13,19,44
12,19,44
12,19,44
12,19,44
12,19,44
12,19,44
14,19,43
14,20,44
14,20,44
14,20,44
14,20,44
14,20,44
14,20,43
7,17,42
7,17,41
6,16,41
6,15,40
5,15,39
5,15,39
5,15,39
5,15,39
5,16,39
5,16,39
6,16,39
6,16,39
6,16,39
6,15,40
6,16,40
6,16,42
6,16,42
6,16,42
7,16,43
7,15,43
6,15,43
6,15,43
6,15,42
6,15,42
6,15,42
6,15,43
6,15,42
6,15,42
7,16,43
7,16,42
7,16,42
7,16,42
7,17,42
7,17,42
6,17,42
