B,G,R
4,15,67
4,15,67
4,15,67
5,15,67
6,14,67
6,14,67
5,14,67
4,14,66
3,14,66
3,14,66
3,14,66
3,14,66
3,14,66
3,14,66
3,14,66
4,15,66
4,15,66
4,15,67
4,15,67
4,15,67
4,15,67
4,15,67
4,15,67
4,15,67
4,15,67
4,15,66
4,15,66
4,15,66
4,15,66
4,15,66
4,15,67
4,15,67
4,15,67
4,15,67
4,15,67
4,15,67
5,15,67
6,14,67
6,14,67
6,14,67
5,14,65
4,14,65
3,14,64
3,14,64
3,14,64
3,14,64
3,14,64
3,14,64
3,14,65
4,15,65
4,15,65
4,15,65
4,15,65
4,15,65
3,14,64
3,14,64
3,14,64
3,14,64
3,14,65
4,15,65
4,15,65
4,15,65
3,14,66
3,14,66
3,14,66
3,14,66
3,14,66
3,14,66
4,15,66
3,14,67
3,14,66
3,14,66
3,14,67
3,15,67
3,15,67
4,15,67
4,15,67
4,15,67
4,15,67
5,15,67
6,14,67
6,14,67
6,14,66
6,14,65
5,14,65
4,14,64
3,14,64
3,14,64
3,14,64
3,14,64
3,14,64
3,14,64
3,14,64
4,15,65
4,15,65
4,15,65
4,15,65
3,14,65
3,14,64
3,14,64
3,14,64
3,14,64
3,14,64
3,14,65
3,14,65
3,14,65
3,14,65
3,14,66
3,14,66
3,14,66
3,14,66
3,14,66
4,15,66
4,15,67
4,15,67
4,15,67
5,16,68
4,15,67
4,14,68
4,14,67
4,14,67
3,14,67
3,14,67
3,14,66
2,14,66
3,14,66
3,15,67
4,15,67
4,15,67
4,15,67
5,15,67
5,15,67
6,14,67
6,14,67
6,14,65
5,14,65
5,14,64
4,14,64
3,14,64
3,14,64
3,14,64
3,14,64
3,14,64
3,14,64
3,14,64
3,14,64
3,14,64
4,15,65
4,15,65
4,15,65
3,14,64
3,14,64
3,14,64
3,14,64
3,14,64
3,14,64
3,15,64
3,15,64
3,15,65
3,15,65
3,15,65
3,15,65
3,14,66
4,15,66
4,15,66
4,15,66
4,15,66
4,15,67
4,15,67
5,16,68
5,16,68
5,16,68
5,16,68
5,16,68
5,16,68
4,14,68
4,14,68
4,14,68
4,14,68
4,14,68
3,14,67
3,13,67
3,14,67
3,14,66
2,14,66
2,14,66
3,14,66
3,14,66
4,14,66
5,14,66
5,14,66
5,14,67
6,14,66
6,14,65
5,14,65
5,14,64
4,14,64
4,14,64
3,14,64
3,14,64
3,14,64
